Parameter,Value,Units
frac_tanker,1,frac
frac_barge,0,frac
frac_pipeline,0,frac
frac_rail,0,frac
frac_truck,0,frac
distance_tanker,5082,mile
distance_barge,500,mile
distance_pipeline,750,mile
distance_rail,800,mile
distance_truck,100,mile
capacity_barge,22500,tonne
speed_tanker,18.52,mile/hr
speed_barge,5,mile/hr
load_factor_to_dest_tanker,0.8,frac
load_factor_to_dest_barge,0.8,frac
load_factor_to_orig_tanker,0.7,frac
load_factor_to_orig_barge,0.6,frac
energy_intensity_rail_to_dest,370,btu/(tonne*mile)
energy_intensity_pipeline_turbine,240,btu/(tonne*mile)
energy_intensity_pipeline_engine_current,270,btu/(tonne*mile)
energy_intensity_pipeline_engine_future,260,btu/(tonne*mile)
frac_power_pipeline_turbine,0.55,frac
frac_power_pipeline_engine_current,0.36,frac
frac_power_pipeline_engine_future,0.09,frac
feed_loss,62,btu/mmbtu
