Year,ANS,CA Onshore,UK,Wyoming,Brazil,CA Offshore,Alberta (pools),Colville River,Kupuruk River,Milne Point,Prudhoe Bay,Northstar,Endicott,Oooguruk,Marlim,Huntington Beach,Inglewood,La Ciengas,Long Beach,Montalvo West,San Miguelito,Sante Fe Springs,Seal Beach,Shafter North,Tejon,Wilmington,PROVOST,WIMBORNE,HAYTER,BANTRY,BELLSHILL LAKE,JUDY CREEK,LEDUC-WOODBEND,STURGEON LAKE SOUTH,VIRGINIA HILLS,CARSON CREEK NORTH,FENN-BIG VALLEY,JUDY CREEK,NIPISI,SWAN HILLS SOUTH,REDWATER
0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2,0.080,,,,,,,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,,,,,,,,
3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
8,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
9,0.910,,,,,,,,,,,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10,0.510,,,,,,,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
11,,,,,,1.110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,,,,0.650,,,,,,,,,,0.65,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,,,,,1.870,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,,,,,13.220,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,,0.307,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,,,,,9.620,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,,,,,12.660,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,16.620,,,,,,,,,,,,16.62,,,,,,,,,,,,,,,,,,,,,,,,,,,,
